ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion
149,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,100%
150,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,100%,110%
151,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,90%
152,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,100%
153,powder,YOLOv8 Nano,True,True,2,Distance Max,0%,110%,110%
154,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,90%
155,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,100%
156,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,90%,110%
157,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,90%
158,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,100%
159,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,100%,110%
160,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,90%
161,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,100%
162,powder,YOLOv8 Nano,True,True,2,Distance Max,5%,110%,110%
163,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,90%
164,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,100%
165,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,90%,110%
166,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,90%
167,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,100%
168,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,110%
169,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,90%
170,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,100%
171,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,110%
172,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,90%
173,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,100%
174,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,110%
175,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,90%
176,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,100%
177,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,110%
178,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,90%
179,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,100%
180,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,110%
181,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,90%
182,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,100%
183,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,110%
184,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,90%
185,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,100%
186,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,110%
187,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,90%
188,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,100%
189,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,110%
190,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,90%
191,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,100%
192,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,110%
193,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,90%
194,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,100%
195,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,110%
196,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,90%
197,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,100%
198,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,110%
199,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,90%
200,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,100%
201,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,110%
202,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,90%
203,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,100%
204,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,110%
205,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,90%
206,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,100%
207,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,110%
208,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,90%
209,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,100%
210,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,90%,110%
211,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,90%
212,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,100%
213,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,100%,110%
214,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,90%
215,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,100%
216,powder,YOLOv8 Nano,True,True,2,Voronoi,15%,110%,110%
217,powder,YOLOv8 Nano,True,True,3,Random,0%,90%,90%
218,powder,YOLOv8 Nano,True,True,3,Random,0%,90%,100%
219,powder,YOLOv8 Nano,True,True,3,Random,0%,90%,110%
220,powder,YOLOv8 Nano,True,True,3,Random,0%,100%,90%
221,powder,YOLOv8 Nano,True,True,3,Random,0%,100%,100%
222,powder,YOLOv8 Nano,True,True,3,Random,0%,100%,110%
223,powder,YOLOv8 Nano,True,True,3,Random,0%,110%,90%
224,powder,YOLOv8 Nano,True,True,3,Random,0%,110%,100%
225,powder,YOLOv8 Nano,True,True,3,Random,0%,110%,110%
226,powder,YOLOv8 Nano,True,True,3,Random,5%,90%,90%
227,powder,YOLOv8 Nano,True,True,3,Random,5%,90%,100%
228,powder,YOLOv8 Nano,True,True,3,Random,5%,90%,110%
229,powder,YOLOv8 Nano,True,True,3,Random,5%,100%,90%
230,powder,YOLOv8 Nano,True,True,3,Random,5%,100%,100%
231,powder,YOLOv8 Nano,True,True,3,Random,5%,100%,110%
232,powder,YOLOv8 Nano,True,True,3,Random,5%,110%,90%
233,powder,YOLOv8 Nano,True,True,3,Random,5%,110%,100%
234,powder,YOLOv8 Nano,True,True,3,Random,5%,110%,110%
235,powder,YOLOv8 Nano,True,True,3,Random,10%,90%,90%
236,powder,YOLOv8 Nano,True,True,3,Random,10%,90%,100%
237,powder,YOLOv8 Nano,True,True,3,Random,10%,90%,110%
238,powder,YOLOv8 Nano,True,True,3,Random,10%,100%,90%
239,powder,YOLOv8 Nano,True,True,3,Random,10%,100%,100%
240,powder,YOLOv8 Nano,True,True,3,Random,10%,100%,110%
241,powder,YOLOv8 Nano,True,True,3,Random,10%,110%,90%
242,powder,YOLOv8 Nano,True,True,3,Random,10%,110%,100%
243,powder,YOLOv8 Nano,True,True,3,Random,10%,110%,110%
244,powder,YOLOv8 Nano,True,True,3,Random,15%,90%,90%
245,powder,YOLOv8 Nano,True,True,3,Random,15%,90%,100%
246,powder,YOLOv8 Nano,True,True,3,Random,15%,90%,110%
247,powder,YOLOv8 Nano,True,True,3,Random,15%,100%,90%
248,powder,YOLOv8 Nano,True,True,3,Random,15%,100%,100%
249,powder,YOLOv8 Nano,True,True,3,Random,15%,100%,110%
250,powder,YOLOv8 Nano,True,True,3,Random,15%,110%,90%
251,powder,YOLOv8 Nano,True,True,3,Random,15%,110%,100%
252,powder,YOLOv8 Nano,True,True,3,Random,15%,110%,110%
