ID,Dataset,Model,BoxInclusion,MaskInclusion,NumberOfPOIs,POIPlacementAlgorithm,PerimeterBuffer,BoundingBoxDistortion,MaskDistortion,avg_sam_mask_AP_50_95
167,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,100%,0.6266671315165702
168,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,100%,110%,0.6420268755257409
169,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,90%,0.6128019269132325
170,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,100%,0.6144802236281575
171,powder,YOLOv8 Nano,True,True,2,Distance Max,10%,110%,110%,0.6067337489682928
172,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,90%,0.603397189450478
173,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,100%,0.6211772039393342
174,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,90%,110%,0.6035068278101172
175,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,90%,0.5877071885835031
176,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,100%,0.5884164829133871
177,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,100%,110%,0.5864623693333197
178,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,90%,0.5714213936162511
179,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,100%,0.5623876692749357
180,powder,YOLOv8 Nano,True,True,2,Distance Max,15%,110%,110%,0.5390907462435185
181,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,90%,0.6911408023410074
182,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,100%,0.6928764025890809
183,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,90%,110%,0.719067443304371
184,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,90%,0.6735996814579843
185,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,100%,0.6779580175254974
186,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,100%,110%,0.7384251665353312
187,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,90%,0.644162065919443
188,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,100%,0.6495614900458303
189,powder,YOLOv8 Nano,True,True,2,Voronoi,0%,110%,110%,0.6706436390658651
190,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,90%,0.7233816692314565
191,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,100%,0.7114777668210411
192,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,90%,110%,0.659786050487016
193,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,90%,0.6907699969815819
194,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,100%,0.6811724352535402
195,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,100%,110%,0.6981698136049904
196,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,90%,0.6581597558050133
197,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,100%,0.6420991739723171
198,powder,YOLOv8 Nano,True,True,2,Voronoi,5%,110%,110%,0.6329928638645544
199,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,90%,0.6929511748472057
200,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,100%,0.6815569880283201
201,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,90%,110%,0.6786154267022848
202,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,90%,0.6771967564758611
203,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,100%,0.6821835547787504
204,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,100%,110%,0.676789999259602
205,powder,YOLOv8 Nano,True,True,2,Voronoi,10%,110%,90%,0.637825480692011
